name	side	fma	system	layer
Tibia	right	FMA:24477	musculoskeletal	bone
Tibia	left	FMA:24478	musculoskeletal	bone
Proximal phalanx of third finger of foot	left	FMA:32637	musculoskeletal	bone
Proximal phalanx of fourth finger of foot	left	FMA:32639	musculoskeletal	bone
Distal phalanx of third finger of foot	right	FMA:32654	musculoskeletal	bone
Middle phalanx of third finger of foot	left	FMA:32645	musculoskeletal	bone
Proximal phalanx of first finger of foot	right	FMA:43253	musculoskeletal	bone
Middle phalanx of third finger of foot	right	FMA:32644	musculoskeletal	bone
Proximal phalanx of second finger of foot	left	FMA:32635	musculoskeletal	bone
Distal phalanx of second finger of foot	right	FMA:32652	musculoskeletal	bone
Distal phalanx of first finger of foot	right	FMA:32650	musculoskeletal	bone
Middle phalanx of fourth finger of foot	right	FMA:32646	musculoskeletal	bone
Distal phalanx of fourth finger of foot	left	FMA:32657	musculoskeletal	bone
Distal phalanx of second finger of foot	left	FMA:32653	musculoskeletal	bone
Proximal phalanx of third finger of foot	right	FMA:32636	musculoskeletal	bone
Distal phalanx of fourth finger of foot	right	FMA:32656	musculoskeletal	bone
Distal phalanx of third finger of foot	left	FMA:32655	musculoskeletal	bone
Proximal phalanx of first finger of foot	left	FMA:43254	musculoskeletal	bone
Middle phalanx of second finger of foot	right	FMA:32642	musculoskeletal	bone
Middle phalanx of second finger of foot	left	FMA:32643	musculoskeletal	bone
Proximal phalanx of fourth finger of foot	right	FMA:32638	musculoskeletal	bone
Distal phalanx of first finger of foot	left	FMA:32651	musculoskeletal	bone
Proximal phalanx of second finger of foot	right	FMA:32634	musculoskeletal	bone
Middle phalanx of fourth finger of foot	left	FMA:32647	musculoskeletal	bone
Fourth metatarsal bone	left	FMA:24514	musculoskeletal	bone
Fifth metatarsal bone	right	FMA:24515	musculoskeletal	bone
First metatarsal bone	right	FMA:24507	musculoskeletal	bone
Second metatarsal bone	left	FMA:24510	musculoskeletal	bone
Third metatarsal bone	right	FMA:24511	musculoskeletal	bone
Third metatarsal bone	left	FMA:24512	musculoskeletal	bone
First metatarsal bone	left	FMA:24508	musculoskeletal	bone
Fourth metatarsal bone	right	FMA:24513	musculoskeletal	bone
Second metatarsal bone	right	FMA:24509	musculoskeletal	bone
Fifth metatarsal bone	left	FMA:24516	musculoskeletal	bone
Intermediate cuneiform bone	left	FMA:24524	musculoskeletal	bone
Talus	right	FMA:24482	musculoskeletal	bone
Lateral cuneiform bone	left	FMA:24526	musculoskeletal	bone
Intermediate cuneiform bone	right	FMA:24523	musculoskeletal	bone
Cuboid bone	left	FMA:24529	musculoskeletal	bone
Calcaneus	left	FMA:24498	musculoskeletal	bone
Medial cuneiform bone	left	FMA:24522	musculoskeletal	bone
Cuboid bone	right	FMA:24528	musculoskeletal	bone
Medial cuneiform bone	right	FMA:24521	musculoskeletal	bone
Talus	left	FMA:24483	musculoskeletal	bone
Calcaneus	right	FMA:24497	musculoskeletal	bone
Lateral cuneiform bone	right	FMA:24525	musculoskeletal	bone
Femur	left	FMA:24475	musculoskeletal	bone
Fibula	left	FMA:24481	musculoskeletal	bone
Fibula	right	FMA:24480	musculoskeletal	bone
Hip bone	right	FMA:24965	musculoskeletal	bone
Hip bone	left	FMA:24966	musculoskeletal	bone
Sacrum		FMA:16202	musculoskeletal	bone
Hyoid bone		FMA:52749	musculoskeletal	bone
Mandible		FMA:52748	musculoskeletal	bone
Major alar cartilage	left	FMA:59506	musculoskeletal	bone
Major alar cartilage	right	FMA:59505	musculoskeletal	bone
Parietal bone	left	FMA:52789	musculoskeletal	bone
Palatine bone	left	FMA:53656	musculoskeletal	bone
Lacrimal bone	left	FMA:53646	musculoskeletal	bone
Nasal bone	right	FMA:53647	musculoskeletal	bone
Temporal bone	left	FMA:52739	musculoskeletal	bone
Ethmoid bone		FMA:52740	musculoskeletal	bone
Maxilla	right	FMA:53649	musculoskeletal	bone
Occipital bone		FMA:52735	musculoskeletal	bone
Inferior nasal concha bone	left	FMA:54738	musculoskeletal	bone
Lacrimal bone	right	FMA:53645	musculoskeletal	bone
Vomer		FMA:9710	musculoskeletal	bone
Maxilla	left	FMA:53650	musculoskeletal	bone
Parietal bone	right	FMA:52788	musculoskeletal	bone
Nasal bone	left	FMA:53648	musculoskeletal	bone
Frontal bone		FMA:52734	musculoskeletal	bone
